History Key,Source,Provider,Programme,Call ID,Topic ID,Title,Type,URL,Opened,Deadline,First Seen,Last Seen,Seen Snapshots,Seen Count,Currently Matched,Last Status,Last Urgency,Last Days,Score,Matched Terms,Theme
esa gstp|7518484c42eae4ca453e5d847a349062|3523813410393072843|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410393072843&useraction=browse&templatename=&documentid=7518484c42eae4ca453e5d847a349062|danish call for activity proposals to gstp element 1 (de-risk) and element 2 (make),ESA GSTP,European Space Agency,GSTP Element 2 Make,7518484c42eae4ca453e5d847a349062,3523813410393072843,Danish call for activity proposals to GSTP Element 1 (De-risk) and Element 2 (MAKE),OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410393072843&userAction=Browse&templateName=&documentId=7518484c42eae4ca453e5d847a349062,,2026-11-10,2026-09-11,2026-09-11,2026-09-11,1,yes,Submission,GREEN - due >45 days,60,9,"element 2, gstp, make",Danish call for activity proposals to GSTP Element 1 (De-risk) and Element 2 (MAKE) The call dedicated for Danish entities applying for GSTP Element 1 De-risk Framework or Element 2 activities. 0 Submissions Ends in 2 months Go to Campaign
esa gstp|ac10a0a713015de39cd11ed85737d8c0|3523813410393072843|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410393072843&useraction=browse&templatename=&documentid=ac10a0a713015de39cd11ed85737d8c0|danish request for interest (rfi) to the gstp resilience & security component workplan,ESA GSTP,European Space Agency,GSTP Element 2 Make,ac10a0a713015de39cd11ed85737d8c0,3523813410393072843,Danish Request for Interest (RFI) to the GSTP Resilience & Security Component Workplan,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410393072843&userAction=Browse&templateName=&documentId=ac10a0a713015de39cd11ed85737d8c0,,2026-11-10,2026-09-11,2026-09-11,2026-09-11,1,yes,Submission,GREEN - due >45 days,60,5,"gstp, security",Danish Request for Interest (RFI) to the GSTP Resilience & Security Component Workplan Registered in Denmark and working on resilience and security space technology? This call is for you! 0 Submissions Ends in 2 months Go to Campaign
"esa gstp|ca-2019-00045|45087596271774066|https://ideas.esa.int/core/servlet/hype/imt?documentid=d1b0bbb26bfd9c41bd3d3e4471325c40&documenttableid=45087596271774066&templatename=&useraction=browse|market oriented activities - gstp element 2 ""make""",ESA GSTP,European Space Agency,GSTP Element 2 Make,Ca-2019-00045,45087596271774066,"Market Oriented Activities - GSTP Element 2 ""MAKE""",OSIP Channel,https://ideas.esa.int/core/servlet/hype/IMT?documentId=d1b0bbb26bfd9c41bd3d3e4471325c40&documentTableId=45087596271774066&templateName=&userAction=Browse,,,2026-09-10,2026-09-11,2026-09-10;2026-09-11,2,yes,Submission,BLUE - open channel/no fixed deadline,,33,"co-funded, edge, element 2, gstp, make, market oriented, open call, osip, outline proposal, quality, r&d, research, sustainability","Open Space Innovation Platform - OSIP - Channel: ‪Market Oriented Activities - GSTP Element 2 ""MAKE""‬ --> --> --> Explore Help Quick Guide Search Log In Register This web application logs your IP address. By visiting this site, you agree to our privacy policy. OK For the best experience on your mobile device, turn your device or check out the desktop version where you can use wider browser windows. Menu Banner ESA-logo_test2.jpg --> Channel Ca-2019-00045 Market Oriented Activities - GSTP Element 2 ""MAKE"" Status: Submission --> --> --> Market Oriented Activities - GSTP Element 2 ""MAKE"" --> Teaser Opportunities for Market-Oriented Activities --> Director of Technology, Engineering and Quality - Dietmar Pilz --> Matthew Robert Bullock --> --> Submit Your Idea --> --> --> --> --> --> Description With the General Support Technology Programme (GSTP), ESA supports the development of technologie"
esa gstp|5655bd68fc87c649853708e4ff178484|3523813410390354412|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410390354412&useraction=browse&templatename=&documentid=5655bd68fc87c649853708e4ff178484|pnt competitiveness - navisp element 2,ESA GSTP,European Space Agency,GSTP Element 2 Make,5655bd68fc87c649853708e4ff178484,3523813410390354412,PNT Competitiveness - NAVISP Element 2,OSIP Channel,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410390354412&userAction=Browse&templateName=&documentId=5655bd68fc87c649853708e4ff178484,,,2026-09-10,2026-09-10,2026-09-10,1,no,Open / check source,BLUE - open channel/no fixed deadline,,5,"element 2, pnt","PNT Competitiveness - NAVISP Element 2 Industry is invited to submit ideas to transform Positioning, Navigation, and Timing (PNT) capabilities into competitive, market-ready solutions. 23 Submissions"
esa gstp|5655bd68fc87c649853708e4ff178484|3523813410393072847|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410393072847&useraction=browse&templatename=&documentid=5655bd68fc87c649853708e4ff178484|pnt competitiveness - navisp element 2,ESA GSTP,European Space Agency,GSTP Element 2 Make,5655bd68fc87c649853708e4ff178484,3523813410393072847,PNT Competitiveness - NAVISP Element 2,OSIP Channel,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410393072847&userAction=Browse&templateName=&documentId=5655bd68fc87c649853708e4ff178484,,,2026-09-11,2026-09-11,2026-09-11,1,yes,Open / check source,BLUE - open channel/no fixed deadline,,5,"element 2, pnt","PNT Competitiveness - NAVISP Element 2 Industry is invited to submit ideas to transform Positioning, Navigation, and Timing (PNT) capabilities into competitive, market-ready solutions. 23 Submissions"
esa osip|d1ce43afde15f63d38cc4f7d09d94a92|3523813410390354408|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410390354408&useraction=browse&templatename=&documentid=d1ce43afde15f63d38cc4f7d09d94a92|esa strategic initiative in support of isam: investigation of future use cases,ESA OSIP,European Space Agency,ESA OSIP,d1ce43afde15f63d38cc4f7d09d94a92,3523813410390354408,ESA Strategic Initiative in support of ISAM: investigation of future use cases,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410390354408&userAction=Browse&templateName=&documentId=d1ce43afde15f63d38cc4f7d09d94a92,,2026-09-14,2026-09-10,2026-09-10,2026-09-10,1,no,Submission,RED - due <=7 days,4,2,research,"ESA Strategic Initiative in support of ISAM: investigation of future use cases ESA invites Europe’s industry, research organisations, and academia to propose concepts towards future ISAM use cases. Selected teams will be invited to refine their proposals with ESA experts and key stakeholders during an innovation sprint at ESTEC (23–27 November 2026). The winning team(s) will be invited to cooperate with ESA for 6 months to develop their concept, supported by up to €200,000 via Cooperative Agreement. The deadline for this first step of idea submissions is 14/09/2026, Time (12:00), CEST. 7 Submissions Ends in 4 days Go to Campaign"
esa osip|d1ce43afde15f63d38cc4f7d09d94a92|3523813410393072843|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410393072843&useraction=browse&templatename=&documentid=d1ce43afde15f63d38cc4f7d09d94a92|esa strategic initiative in support of isam: investigation of future use cases,ESA OSIP,European Space Agency,ESA OSIP,d1ce43afde15f63d38cc4f7d09d94a92,3523813410393072843,ESA Strategic Initiative in support of ISAM: investigation of future use cases,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410393072843&userAction=Browse&templateName=&documentId=d1ce43afde15f63d38cc4f7d09d94a92,,2026-09-14,2026-09-11,2026-09-11,2026-09-11,1,yes,Submission,RED - due <=7 days,3,2,research,"ESA Strategic Initiative in support of ISAM: investigation of future use cases ESA invites Europe’s industry, research organisations, and academia to propose concepts towards future ISAM use cases. Selected teams will be invited to refine their proposals with ESA experts and key stakeholders during an innovation sprint at ESTEC (23–27 November 2026). The winning team(s) will be invited to cooperate with ESA for 6 months to develop their concept, supported by up to €200,000 via Cooperative Agreement. The deadline for this first step of idea submissions is 14/09/2026, Time (12:00), CEST. 9 Submissions Ends in 3 days Go to Campaign"
esa osip|76590fb19b5e6424d8862a329c2884b1|3523813410390354408|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410390354408&useraction=browse&templatename=&documentid=76590fb19b5e6424d8862a329c2884b1|call for ideas: autonomous software experiments on hera,ESA OSIP,European Space Agency,ESA OSIP,76590fb19b5e6424d8862a329c2884b1,3523813410390354408,Call for Ideas: Autonomous Software Experiments on Hera,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410390354408&userAction=Browse&templateName=&documentId=76590fb19b5e6424d8862a329c2884b1,,2026-09-15,2026-09-10,2026-09-10,2026-09-10,1,no,Submission,RED - due <=7 days,5,16,"autonomous, autonomous software, call for ideas, earth, hera, onboard, software",Call for Ideas: Autonomous Software Experiments on Hera Your software could fly millions of kilometres from Earth. ESA is opening the Hera spacecraft to experimental onboard software. Submit your idea and run your algorithms in a real deep-space mission environment. 29 Submissions Ends in 5 days Go to Campaign
esa osip|76590fb19b5e6424d8862a329c2884b1|3523813410393072843|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410393072843&useraction=browse&templatename=&documentid=76590fb19b5e6424d8862a329c2884b1|call for ideas: autonomous software experiments on hera,ESA OSIP,European Space Agency,ESA OSIP,76590fb19b5e6424d8862a329c2884b1,3523813410393072843,Call for Ideas: Autonomous Software Experiments on Hera,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410393072843&userAction=Browse&templateName=&documentId=76590fb19b5e6424d8862a329c2884b1,,2026-09-15,2026-09-11,2026-09-11,2026-09-11,1,yes,Submission,RED - due <=7 days,4,16,"autonomous, autonomous software, call for ideas, earth, hera, onboard, software",Call for Ideas: Autonomous Software Experiments on Hera Your software could fly millions of kilometres from Earth. ESA is opening the Hera spacecraft to experimental onboard software. Submit your idea and run your algorithms in a real deep-space mission environment. 29 Submissions Ends in 4 days Go to Campaign
esa osip|baccef527f7e65995108167caed601a1|3523813410390354408|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410390354408&useraction=browse&templatename=&documentid=baccef527f7e65995108167caed601a1|join the science definition team (sdt) to help define the exploration science payload for a proposed future mars lander: medal-1,ESA OSIP,European Space Agency,ESA OSIP,baccef527f7e65995108167caed601a1,3523813410390354408,Join the Science Definition Team (SDT) to help define the Exploration Science Payload for a proposed future Mars lander: MEDaL-1,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410390354408&userAction=Browse&templateName=&documentId=baccef527f7e65995108167caed601a1,,2026-09-15,2026-09-10,2026-09-10,2026-09-10,1,no,Submission,RED - due <=7 days,5,2,science,Join the Science Definition Team (SDT) to help define the Exploration Science Payload for a proposed future Mars lander: MEDaL-1 Join the Science Definition Team (SDT) to help define the Exploration Science Payload for a proposed future Mars lander: MEDaL-1 9 Submissions Ends in 5 days Go to Campaign
esa osip|baccef527f7e65995108167caed601a1|3523813410393072843|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410393072843&useraction=browse&templatename=&documentid=baccef527f7e65995108167caed601a1|join the science definition team (sdt) to help define the exploration science payload for a proposed future mars lander: medal-1,ESA OSIP,European Space Agency,ESA OSIP,baccef527f7e65995108167caed601a1,3523813410393072843,Join the Science Definition Team (SDT) to help define the Exploration Science Payload for a proposed future Mars lander: MEDaL-1,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410393072843&userAction=Browse&templateName=&documentId=baccef527f7e65995108167caed601a1,,2026-09-15,2026-09-11,2026-09-11,2026-09-11,1,yes,Submission,RED - due <=7 days,4,2,science,Join the Science Definition Team (SDT) to help define the Exploration Science Payload for a proposed future Mars lander: MEDaL-1 Join the Science Definition Team (SDT) to help define the Exploration Science Payload for a proposed future Mars lander: MEDaL-1 10 Submissions Ends in 4 days Go to Campaign
esa osip|cb4b1147cabb63ed8df2a4a86aaa016d|3523813410390354408|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410390354408&useraction=browse&templatename=&documentid=cb4b1147cabb63ed8df2a4a86aaa016d|esa strategic initiative on space-based data centres: request for information ahead of strategy forum,ESA OSIP,European Space Agency,ESA OSIP,cb4b1147cabb63ed8df2a4a86aaa016d,3523813410390354408,ESA Strategic Initiative on Space-Based Data Centres: Request for Information ahead of Strategy Forum,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410390354408&userAction=Browse&templateName=&documentId=cb4b1147cabb63ed8df2a4a86aaa016d,,2026-09-25,2026-09-10,2026-09-10,2026-09-10,1,no,Submission,ORANGE - due <=21 days,15,6,"data, request for information, space-based data centres","ESA Strategic Initiative on Space-Based Data Centres: Request for Information ahead of Strategy Forum In preparation of the Strategy Forum (November 12-13, ESTEC) on Space-Based Data Centres (SBDC), this Request for Information (RFI) aims to collect stakeholders inputs that will directly inform the scenarios and discussion topics explored during the Forum. The deadline for input submissions is 25/09/2026, Time (23:59), CEST. 12 Submissions Ends in 2 weeks Go to Campaign"
esa osip|cb4b1147cabb63ed8df2a4a86aaa016d|3523813410393072843|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410393072843&useraction=browse&templatename=&documentid=cb4b1147cabb63ed8df2a4a86aaa016d|esa strategic initiative on space-based data centres: request for information ahead of strategy forum,ESA OSIP,European Space Agency,ESA OSIP,cb4b1147cabb63ed8df2a4a86aaa016d,3523813410393072843,ESA Strategic Initiative on Space-Based Data Centres: Request for Information ahead of Strategy Forum,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410393072843&userAction=Browse&templateName=&documentId=cb4b1147cabb63ed8df2a4a86aaa016d,,2026-09-25,2026-09-11,2026-09-11,2026-09-11,1,yes,Submission,ORANGE - due <=21 days,14,6,"data, request for information, space-based data centres","ESA Strategic Initiative on Space-Based Data Centres: Request for Information ahead of Strategy Forum In preparation of the Strategy Forum (November 12-13, ESTEC) on Space-Based Data Centres (SBDC), this Request for Information (RFI) aims to collect stakeholders inputs that will directly inform the scenarios and discussion topics explored during the Forum. The deadline for input submissions is 25/09/2026, Time (23:59), CEST. 12 Submissions Ends in 2 weeks Go to Campaign"
"esa osip|6a84624d8ba6b8bf23bff3f38f124e54|3523813410390354408|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410390354408&useraction=browse&templatename=&documentid=6a84624d8ba6b8bf23bff3f38f124e54|announcement of opportunity for human research in concordia station, antarctica (ao-2026-concordia)",ESA OSIP,European Space Agency,ESA OSIP,6a84624d8ba6b8bf23bff3f38f124e54,3523813410390354408,"Announcement of Opportunity for Human Research in Concordia Station, Antarctica (AO-2026-Concordia)",OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410390354408&userAction=Browse&templateName=&documentId=6a84624d8ba6b8bf23bff3f38f124e54,,2026-11-09,2026-09-10,2026-09-10,2026-09-10,1,no,Submission,GREEN - due >45 days,60,2,research,"Announcement of Opportunity for Human Research in Concordia Station, Antarctica (AO-2026-Concordia) ESA, IPEV and PNRA are soliciting for biomedical and psychological experiments to be implemented in Concordia Station in Antarctica 4 Submissions Ends in 2 months Go to Campaign"
"esa osip|6a84624d8ba6b8bf23bff3f38f124e54|3523813410393072843|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410393072843&useraction=browse&templatename=&documentid=6a84624d8ba6b8bf23bff3f38f124e54|announcement of opportunity for human research in concordia station, antarctica (ao-2026-concordia)",ESA OSIP,European Space Agency,ESA OSIP,6a84624d8ba6b8bf23bff3f38f124e54,3523813410393072843,"Announcement of Opportunity for Human Research in Concordia Station, Antarctica (AO-2026-Concordia)",OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410393072843&userAction=Browse&templateName=&documentId=6a84624d8ba6b8bf23bff3f38f124e54,,2026-11-10,2026-09-11,2026-09-11,2026-09-11,1,yes,Submission,GREEN - due >45 days,60,2,research,"Announcement of Opportunity for Human Research in Concordia Station, Antarctica (AO-2026-Concordia) ESA, IPEV and PNRA are soliciting for biomedical and psychological experiments to be implemented in Concordia Station in Antarctica 4 Submissions Ends in 2 months Go to Campaign"
esa osip|bc8bda98c5063690766d533370779552|3523813410390354408|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410390354408&useraction=browse&templatename=&documentid=bc8bda98c5063690766d533370779552|bsgn agri-food accelerator open call,ESA OSIP,European Space Agency,ESA OSIP,bc8bda98c5063690766d533370779552,3523813410390354408,BSGN Agri-Food Accelerator Open Call,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410390354408&userAction=Browse&templateName=&documentId=bc8bda98c5063690766d533370779552,,2027-01-08,2026-09-10,2026-09-10,2026-09-10,1,no,Submission,GREEN - due >45 days,120,12,"agri-food, agrifood, earth, open call, science","BSGN Agri-Food Accelerator Open Call 🌱 The Open Call for the ESA BSGN Agrifood Industry Accelerator is Now Open! 🚀Whether you're developing the next generation of food technologies, alternative proteins, sustainable packaging, precision fermentation, plant science or biotechnology, this is your chance to explore how microgravity can accelerate innovation 🛰️. Access expert support, business acceleration and ESA co-funding to transform bold ideas into commercial opportunities for Earth. 🌍 1 Submission Ends in 4 months Go to Campaign"
